racquet_brands,racquet_models
Volkl,DNX 4
Volkl,DNX 6 Ativa
Volkl,DNX 7
Volkl,DNX 8
Volkl,DNX 9
Volkl,Organix 1
Volkl,Organix 10 (295g)
Volkl,Organix 10 (325)
Volkl,Organix 10 Mid
Volkl,Organix 4
Volkl,Organix 4 Super G
Volkl,Organix 5
Volkl,Organix 7 (295)
Volkl,Organix 7 (310)
Volkl,Organix 8 315g
Volkl,Organix 9
Volkl,Organix V1 MP
Volkl,Organix V1 OS
Volkl,Organix V1 Pro Midplus
Volkl,Power Bridge 1
Volkl,Power Bridge 10
Volkl,Power Bridge 10 Mid
Volkl,Power Bridge 2
Volkl,Power Bridge 3
Volkl,Power Bridge 4
Volkl,Power Bridge 5
Volkl,Power Bridge 6 Attiva MP
Volkl,Power Bridge 7
Volkl,Power Bridge 8
Volkl,Power Bridge 8 315
Volkl,Power Bridge 9
Volkl,Power Bridge V1 Midplus
Volkl,Power Bridge V1 Oversize
Volkl,Quantum Scorcher
Volkl,Super G 1
Volkl,Super G 10 295
Volkl,Super G 10 325
Volkl,Super G 10 Mid (320g)
Volkl,Super G 10 Mid (330g)
Volkl,Super G 3
Volkl,Super G 5
Volkl,Super G 6
Volkl,Super G 7
Volkl,Super G 8 (300g)
Volkl,Super G 8 (315g)
Volkl,Super G 9
Volkl,Super G V1 Midplus
Volkl,Super G V1 Oversize
Volkl,Super G V1 Pro
Volkl,Team Tour
Volkl,Tour 10 V-Engine Mid
Volkl,Tour 9 V-Engine (18x20)
Volkl,Tour Scorcher
Volkl,V-Cell 10 300g
Volkl,V-Cell 10 320g
Volkl,V-Cell 4
Volkl,V-Cell 6
Volkl,V-Cell 8 (285g)
Volkl,V-Cell 8 (300g)
Volkl,V-Cell 8 (315g)
Volkl,V-Cell 9
Volkl,V-Cell V1 Pro
Volkl,V-Feel 1
Volkl,V-Feel 10 (300g)
Volkl,V-Feel 10 (320g)
Volkl,V-Feel 4
Volkl,V-Feel 5
Volkl,V-Feel 6
Volkl,V-Feel 8 285g
Volkl,V-Feel 8 300g
Volkl,V-Feel 8 315g
Volkl,V-Feel 9
Volkl,V-Feel V1 MP
Volkl,V-Feel V1 OS
Volkl,V-Feel V1 Pro
Volkl,V-Feel V8 Pro
Volkl,V-Sense 1
Volkl,V-Sense 10 295g
Volkl,V-Sense 10 325g
Volkl,V-Sense 10 Mid
Volkl,V-Sense 10 Tour
Volkl,V-Sense 2
Volkl,V-Sense 4
Volkl,V-Sense 5
Volkl,V-Sense 6
Volkl,V-Sense 8 285g
Volkl,V-Sense 8 300g
Volkl,V-Sense 8 315g
Volkl,V-Sense 9
Volkl,V-Sense V1 MP
Volkl,V-Sense V1 OS
Volkl,V-Sense V1 Pro
Volkl,V1 Classic
Volkl,Vostra V4
Volkl,Vostra V6
Volkl,Vostra V8 285g
Volkl,Vostra V8 300g
Volkl,Vostra V8 315g
Wilson,BLX Blade 98
Wilson,BLX Blade Lite
Wilson,BLX Blade Team
Wilson,BLX Blade Tour
Wilson,BLX Bold
Wilson,BLX Cierzo Two
Wilson,BLX Cirrus One
Wilson,BLX Coral Reef
Wilson,BLX Juice 100
Wilson,BLX Juice 108
Wilson,BLX Juice Pro
Wilson,BLX One
Wilson,BLX Pro Limited 110
Wilson,BLX Pro Lite
Wilson,BLX Pro Open
Wilson,BLX Pro Open (2012)
Wilson,BLX Pro Staff Six.One 100
Wilson,BLX Pro Staff Six.One 90
Wilson,BLX Pro Staff Six.One 95
Wilson,BLX Pro Team FX
Wilson,BLX Pro Tour
Wilson,BLX Six-One 95 16x18
Wilson,BLX Six-One Lite
Wilson,BLX Six-One Tour
Wilson,BLX Six.One 95 16x18
Wilson,BLX Six.One 95 18x20
Wilson,BLX Six.One 95 18x20 (2012)
Wilson,BLX Six.One Team
Wilson,BLX Six.One Team (2012)
Wilson,BLX Steam 100
Wilson,BLX Stratus Three
Wilson,BLX Surge
Wilson,BLX Tempest Four
Wilson,BLX Tidal Force
Wilson,BLX Tidal Wave
Wilson,BLX Tour
Wilson,BLX Tour 2012
Wilson,BLX Tour Limited
Wilson,BLX Tour Lite
Wilson,Blade 100 V7
Wilson,Blade 100 v8
Wilson,Blade 100L
Wilson,Blade 104
Wilson,Blade 104 (2015)
Wilson,Blade 104 / 2013
Wilson,Blade 104 V8
Wilson,Blade 104 v7
Wilson,Blade 18x20 v8
Wilson,Blade 93 / 2013
Wilson,Blade 98 (16x19)
Wilson,Blade 98 (16x19) (2015)
Wilson,Blade 98 (16x19) / 2013
Wilson,Blade 98 (16x19) CV
Wilson,Blade 98 (18x20 ) (2015)
Wilson,Blade 98 (18x20)
Wilson,Blade 98 (18x20) / 2013
Wilson,Blade 98 (18x20) CV
Wilson,Blade 98 16x19 v6
Wilson,Blade 98 16x19 v7 Reverse
Wilson,Blade 98 16x19 v8
Wilson,Blade 98S
Wilson,Blade 98S (18x16) CV
Wilson,Blade 98S (2015)
Wilson,Blade SW 104
Wilson,Burn 100
Wilson,Burn 100 Countervail
Wilson,Burn 100 LS
Wilson,Burn 100 LS (2017)
Wilson,Burn 100 LS CAMO
Wilson,Burn 100 S
Wilson,Burn 100 S Countervail
Wilson,Burn 100 Team
Wilson,Burn 100 Team (2017)
Wilson,Burn 100 ULS
Wilson,Burn 100 ULS (2017)
Wilson,Burn 95
Wilson,Burn 95 Countervail
Wilson,Burn FST 95
Wilson,Burn FST 99
Wilson,Burn FST 99S
Wilson,Clash 100
Wilson,Clash 100 Pro Silver
Wilson,Clash 100 Pro v2
Wilson,Clash 100 Reverse
Wilson,Clash 100 Silver
Wilson,Clash 100 Tour
Wilson,Clash 100 v2
Wilson,Clash 100L
Wilson,Clash 100L Silver
Wilson,Clash 100S
Wilson,Clash 108
Wilson,Clash 98
Wilson,Clash 98 v2
Wilson,Envy 100 L
Wilson,Envy 110 UL
Wilson,Hyper Hammer 5.3 Stretch
Wilson,Hyper Hammer 6.3 OS
Wilson,Juice 100
Wilson,Juice 100L
Wilson,Juice 100S
Wilson,Juice 100UL
Wilson,Juice 108
Wilson,K Factor Kobra Team FX
Wilson,K Factor Kobra Tour
Wilson,KBlade 98
Wilson,KBlade Team 104
Wilson,KBlade Tour
Wilson,KBrave
Wilson,KFive OS
Wilson,KFour 105 MP
Wilson,KFour 112 OS
Wilson,KFour.FX
Wilson,KFury
Wilson,KOne
Wilson,KOne.FX
Wilson,KPro Open
Wilson,KPro Staff 88
Wilson,KPro Team.FX
Wilson,KPro Tour
Wilson,KSix-One 95 (16x18)
Wilson,KSix-One 95 (18x20)
Wilson,KSix-One Tour 90
Wilson,KSix-One X
Wilson,KSix-Two MP
Wilson,KSting 105
Wilson,KSurge
Wilson,KThree OS
Wilson,KThree.FX
Wilson,KTour MP
Wilson,KTour Team.FX
Wilson,KZen MP
Wilson,KZen Team
Wilson,KZen Team.FX Orange
Wilson,Labs Project Shift 99 300g
Wilson,Labs Project Shift 99 315g
Wilson,N Fury OS
Wilson,Pro Open 100
Wilson,Pro Staff 100L
Wilson,Pro Staff 100LS
Wilson,Pro Staff 6.0 85
Wilson,Pro Staff 6.1 100 V13
Wilson,Pro Staff 90
Wilson,Pro Staff 95
Wilson,Pro Staff 95S (2014)
Wilson,Pro Staff 95S (2015)
Wilson,Pro Staff 97
Wilson,Pro Staff 97 (2016)
Wilson,Pro Staff 97 Countervail
Wilson,Pro Staff 97 Countervail Black
Wilson,Pro Staff 97 LS
Wilson,Pro Staff 97 LS Black (2016)
Wilson,Pro Staff 97 RF Autograph
Wilson,Pro Staff 97 v13
Wilson,Pro Staff 97 v14
Wilson,Pro Staff 97L
Wilson,Pro Staff 97L Countervail Black
Wilson,Pro Staff 97L Countervail CAMO
Wilson,Pro Staff 97L v13
Wilson,Pro Staff 97S
Wilson,Pro Staff 97S (2016)
Wilson,Pro Staff RF97 Autograph (2016)
Wilson,Pro Staff RF97 Autograph 2018
Wilson,Pro Staff RF97 v13
Wilson,Pro Staff Six.One 100 v14
Wilson,Pro Staff X v14
Wilson,Shift 99
Wilson,Shift 99 Pro
Wilson,Six-One Team
Wilson,Six.One 95 (16x18)
Wilson,Six.One 95 (18x20)
Wilson,Six.One 95L
Wilson,Six.One 95S
Wilson,Steam 105S
Wilson,Steam 96
Wilson,Steam 99
Wilson,Steam 99LS
Wilson,Steam 99S
Wilson,Ultra 100
Wilson,Ultra 100 Countervail
Wilson,Ultra 100 v2
Wilson,Ultra 100 v4
Wilson,Ultra 100L
Wilson,Ultra 100L CAMO
Wilson,Ultra 100L v2
Wilson,Ultra 100L v3
Wilson,Ultra 100UL
Wilson,Ultra 103S
Wilson,Ultra 108
Wilson,Ultra 95 Countervail
Wilson,Ultra 97
Wilson,Ultra Pro 16x19 v4
Wilson,Ultra Pro 18x20 v4
Wilson,Ultra Tour
Wilson,W5 Divine Iris
Wilson,n2 OS
Wilson,n5 Force MP
Wilson,nBlade OS
Wilson,nPro Open MP
Wilson,nPro Open X
Wilson,nSix-Two MP
Wilson,nSix-Two OS
Wilson,nTour
Wilson,nTour Two MP
Wilson,Energy XL
Wilson,Blade 98 16x19 v9
Wilson,Pro Staff Precision 103
Wilson,Blade 98 16x19 v8 Noir
Wilson,Blade 100UL v7
Wilson,Ultra Power RXT 
Yonex,Astrel 100
Yonex,Astrel 115
Yonex,E-Zone 100
Yonex,E-Zone 107
Yonex,E-Zone Lite
Yonex,E-Zone Rally
Yonex,E-Zone Team 102
Yonex,E-Zone Team Plus 102
Yonex,E-Zone Xi
Yonex,E-Zone Xi 107
Yonex,E-Zone Xi 115
Yonex,E-Zone Xi 98
Yonex,E-Zone Xi Lite
Yonex,EZONE 100 (300g)
Yonex,EZONE 100 2022
Yonex,EZONE 100 Naomi Osaka LE
Yonex,EZONE 100+
Yonex,EZONE 100+ (300g) Blue
Yonex,EZONE 100+ 2022
Yonex,EZONE 100L
Yonex,EZONE 100L Naomi Osaka LE
Yonex,EZONE 105
Yonex,EZONE 108
Yonex,EZONE 98 (305g)
Yonex,EZONE 98 2022
Yonex,EZONE 98 Naomi Osaka LE
Yonex,EZONE 98 Tour
Yonex,EZONE 98 Tour 2022
Yonex,EZONE 98+
Yonex,EZONE 98+ (305g) Blue
Yonex,EZONE 98+ 2022
Yonex,EZONE 98L
Yonex,EZONE Ace
Yonex,EZONE Ai 100
Yonex,EZONE Ai 98
Yonex,EZONE Ai 98 Lite
Yonex,EZONE Ai Feel
Yonex,EZONE Ai Lite (Lime)
Yonex,EZone DR 100
Yonex,EZone DR 98
Yonex,Ezone 100 (285g)
Yonex,Ezone 100 (300g)
Yonex,Ezone 98 (285g)
Yonex,Ezone 98 (305g)
Yonex,Ezone DR 100+ Blue
Yonex,Ezone DR 98+ Blue
Yonex,Ezone Lite
Yonex,Percept 100
Yonex,Percept 100D
Yonex,Percept 97
Yonex,Percept 97D
Yonex,Percept 97H
Yonex,RDS 001 MP
Yonex,RDS 001 Mid
Yonex,RDS 002
Yonex,RDS 002 Tour
Yonex,RDS 003
Yonex,RDiS 100 MP
Yonex,RDiS 100 Mid
Yonex,RDiS 200
Yonex,RDiS 300 MP
Yonex,RQ 7 OS
Yonex,RQ IS 2 Tour
Yonex,RQ Speed 30 MP
Yonex,RQ iS 1 Tour
Yonex,RQ iS 1 Tour XL 100
Yonex,RQ iS 1 Tour XL 95
Yonex,RQ iS 1 Tour XL 95 Lite
Yonex,RQS 11 MP
Yonex,RQS 22
Yonex,RQS 33
Yonex,RQS 55
Yonex,Regna 100
Yonex,Regna 98
Yonex,S-Fit 1
Yonex,S-Fit 1 Lite
Yonex,S-Fit 3
Yonex,S-Fit 5
Yonex,V CORE SV 100
Yonex,V CORE SV 100 Lite
Yonex,V CORE SV 95
Yonex,V CORE SV 98
Yonex,V CORE SV 98 Lite
Yonex,V Core 100 S
Yonex,V Core 95 D
Yonex,V Core 98 D
Yonex,V Core 98 Team
Yonex,VCORE 100
Yonex,VCORE 100 (300)
Yonex,VCORE 100 (300) Galaxy Black
Yonex,VCORE 100 2023
Yonex,VCORE 100+
Yonex,VCORE 100+ (2021)
Yonex,VCORE 100+ 2023
Yonex,VCORE 100L
Yonex,VCORE 95
Yonex,VCORE 95 (2018)
Yonex,VCORE 95 2023
Yonex,VCORE 98
Yonex,VCORE 98 (305)
Yonex,VCORE 98 (305) Galaxy Black
Yonex,VCORE 98 2023
Yonex,VCORE 98 Limited
Yonex,VCORE 98 Tour 2023
Yonex,VCORE 98+
Yonex,VCORE 98+ (2021)
Yonex,VCORE 98+ 2023
Yonex,VCORE 98L
Yonex,VCORE Pro 100
Yonex,VCORE Pro 100 (300)
Yonex,VCORE Pro 100 (300)
Yonex,VCORE Pro 97
Yonex,VCORE Pro 97 (310)
Yonex,VCORE Pro 97 (310) (2018)
Yonex,VCORE Pro 97 (330)
Yonex,VCORE Pro 97 (330)
Yonex,VCORE Pro 97D
Yonex,VCORE Pro 97H
Yonex,VCORE Pro 97HD ((18x20))
Yonex,VCORE Tour 89
Yonex,VCORE Tour 97
Yonex,VCORE Tour 97 (310g)
Yonex,VCORE Tour G (310)
Yonex,VCORE Tour G 330 (Wawrinka)
Yonex,VCORE Xi 100
Yonex,VCORE Xi 98
Yonex,VCore SV 100+
Yonex,VCore SV 98+
Yonex,Vcore Duel G 100
Yonex,Vcore Duel G 97 (310g)
Yonex,Vcore Duel G 97 (330g)
Yonex,Vcore Si 100
Yonex,Vcore Si 98
Yonex,Vcore Tour F 93
Yonex,Vcore Tour F 97 (290)
Yonex,Vcore Tour F 97 (310)
Yonex,Vcore Tour F 97 (310)
Yonex,Ezone Feel
Yonex,V Core PRO 100L
